涨停日期,股票代码,买入价,卖出价,盈亏,买入日期开盘涨跌幅,买入日期收盘涨跌幅,卖出日期开盘涨跌幅,卖出日期收盘涨跌幅,盈亏比例,总数,排名,涨跌幅区间,凯莉公式仓位,胜率,仓位
2025-03-26,300967,18.38,17.06,-1.3200000000000005,-2.545068928950162,-3.7115588547189775,-3.248898678414096,-6.057268722466968,-7.18171926006529,16,14,"[-3, -2)",-inf,0.0,0.0
2025-03-26,300967,18.58,17.26,-1.3199999999999967,-2.518363064008397,-3.6726128016789055,-3.2135076252723307,-5.991285403050098,-7.104413347685666,16,13,"[-3, -2)",-0.1977101904650011,0.3333333333333333,0.0
2025-03-26,300995,22.25,23.2,0.9499999999999992,-3.804582792909637,-4.236921746649376,-0.1354401805868965,4.740406320541765,4.269662921348312,16,16,"[-4, -3)",-0.3302533849816992,0.5,0.0
2025-03-26,300995,22.4,23.35,0.9500000000000028,-3.780068728522348,-4.20962199312715,-0.1345291479820679,4.708520179372201,4.241071428571441,16,15,"[-4, -3)",0.694617670670884,0.8333333333333334,0.694617670670884
2025-03-26,301279,22.49,19.65,-2.84,4.604651162790691,-8.232558139534882,1.4191586416624486,-0.4054738976178502,-12.627834593152512,16,3,"[4, 5)",-0.0526535070543826,0.45714285714285713,0.0
2025-03-26,301279,29.43,25.75,-3.68,4.547069271758442,-8.170515097690933,1.4313346228239745,-0.3868471953578391,-12.504247366632686,16,4,"[4, 5)",0.07819987378231963,0.38461538461538464,0.07819987378231963
2025-03-27,300260,38.88,36.54,-2.3400000000000034,17.78249015449865,14.4804604665253,-0.1058481079650678,-3.307753373908442,-6.018518518518527,8,1,"[17, 18)",-inf,0.0,0.0
2025-03-27,300260,38.94,36.6,-2.3399999999999963,17.750226791654057,14.454188085878442,-0.1056803170409488,-3.302509907529722,-6.00924499229583,8,2,"[17, 18)",-inf,0.0,0.0
2025-03-27,301118,22.05,20.78,-1.2699999999999996,-4.338394793926248,-3.1236442516269083,-4.478280340349306,-6.941334527541413,-5.759637188208615,8,6,"[-5, -4)",0.2538943250061644,0.3333333333333333,0.2538943250061644
2025-03-27,301118,22.17,20.9,-1.2700000000000031,-4.315925766076823,-3.107466551575323,-4.4543429844098,-6.904231625835193,-5.728461885430776,8,5,"[-5, -4)",0.08889823744310357,0.16666666666666666,0.08889823744310357
2025-03-27,301190,20.86,20.9,0.0399999999999991,-9.14634146341464,-1.3066202090592365,-0.7943512797881717,-7.766990291262142,0.1917545541706574,8,8,"[-10, -9)",,1.0,0.0
2025-03-27,301190,21.0,21.04,0.0399999999999991,-9.090909090909095,-1.2987012987013018,-0.7894736842105251,-7.719298245614041,0.1904761904761864,8,7,"[-10, -9)",-12.22549019607869,0.3333333333333333,0.0
2025-03-27,301256,11.25,9.79,-1.4600000000000009,4.263206672845235,0.834105653382777,-6.341911764705893,-10.018382352941192,-12.977777777777783,8,3,"[4, 5)",-0.0526535070543826,0.45714285714285713,0.0
2025-03-27,301256,11.37,9.91,-1.459999999999999,4.216315307057736,0.824931255728688,-6.272727272727269,-9.909090909090908,-12.84080914687774,8,4,"[4, 5)",0.07819987378231963,0.38461538461538464,0.07819987378231963
2025-03-28,300230,5.66,5.58,-0.08,-3.577512776831345,-5.621805792163545,-3.4296028880866496,0.7220216606498201,-1.413427561837457,4,4,"[-4, -3)",0.14410224878989103,0.5,0.14410224878989103
2025-03-28,300230,5.72,5.64,-0.08,-3.541315345699831,-5.564924114671165,-3.3928571428571344,0.714285714285715,-1.3986013986014,4,3,"[-4, -3)",-0.16017408097210944,0.25,0.0
2025-03-28,301052,33.87,32.65,-1.2199999999999989,1.498351813005694,4.165418040155831,0.51783659378596,-6.070195627157651,-3.6020076764097992,4,1,"[1, 2)",-0.2696664728334612,0.3333333333333333,0.0
2025-03-28,301052,33.92,32.7,-1.2199999999999989,1.4961101137043686,4.159186116098146,0.5170927894283244,-6.061476587187588,-3.596698113207544,4,2,"[1, 2)",-0.061741222182053745,0.375,0.0
2025-03-31,300687,31.03,31.01,-0.0199999999999995,-4.757519950890108,-3.806015960712089,-2.0102105934907435,-1.0529674537332427,-0.0644537544311942,8,8,"[-5, -4)",-inf,0.0,0.0
2025-03-31,300687,31.1,31.08,-0.0200000000000031,-4.747320061255735,-3.7978560490045896,-2.005730659025785,-1.050620821394466,-0.0643086816720357,8,7,"[-5, -4)",-0.11768926002867469,0.4166666666666667,0.0
2025-03-31,301075,25.33,30.09,4.760000000000002,0.0,20.01579155151994,1.9736842105263208,-1.019736842105259,18.79194630872484,8,5,"[0, 1)",0.12297994242812782,0.4358974358974359,0.12297994242812782
2025-03-31,301075,25.33,30.09,4.760000000000002,0.0,20.01579155151994,1.9736842105263208,-1.019736842105259,18.79194630872484,8,5,"[0, 1)",0.12297994242812782,0.4358974358974359,0.12297994242812782
